offspring_rattleprob,parent_midpoint,squirrel_id,Year
0.5625,0.888888889,19862,2016
0.75,0.857142857,20866,2016
1,0.285714286,13385,2016
0.8,0.522727273,20504,2016
0.529411765,0.5,19649,2016
0.4,0.818181818,20628,2016
0.625,0.545454545,21578,2016
0.8,0.857142857,20867,2016
0.5,0.5,19706,2016
0.5,0.45,20295,2016
1,0.75,20873,2016
0.454545455,1,21023,2016
0.75,0.666666667,20061,2016
1,0.4375,11020,2016
0.125,0.5,20060,2016
1,1,20634,2016
0.882352941,0.566666667,20920,2016
0.5,0.475,20950,2016
0.454545455,0.375,19537,2016
0.5,0.393939394,21003,2016
1,0.875,20734,2016
0.470588235,0.428571429,12003,2016
1,0.6,20940,2016
0.636363636,0.6,20942,2016
0.666666667,0.333333333,20835,2016
0.5,0.8,21006,2016
0.583333333,0.4,20729,2016
0.333333333,0.330357143,20944,2016
0.5,1,20635,2016
0.714285714,0.666666667,19766,2016
0.6,0.5,21155,2016
0,0.5,20297,2016
0.818181818,0.75,19719,2016
0.785714286,0.723214286,20191,2016
0.461538462,0.714285714,20995,2016
0.785714286,1,20632,2016
0.875,1,12236,2016
0.666666667,0.4,20865,2016
0.666666667,0.571428571,21294,2016
0.25,0.71875,21046,2016
0.5,0.472727273,20062,2016
0.6,0.675,21007,2016
0.666666667,0.571428571,20193,2016
1,0.714285714,20997,2016
1,0.75,20732,2016
1,0.875,20081,2016
0,0,20537,2017
0.125,0.5,11976,2017
0.444444444,0.666666667,12012,2017
0.8,0.682692308,21003,2017
0.8,0.375,22194,2017
0.5,1,20632,2017
0.666666667,0.285714286,20804,2017
0.642857143,0.214285714,20732,2017
0.555555556,0,19561,2017
0.75,0.666666667,20867,2017
1,0.75,20914,2017
1,1,20835,2017
0.6,0.2,21007,2017
0,0.25,20873,2017
1,0.857142857,20634,2017
0.5,0.090909091,23023,2018
0.230769231,0.307692308,19583,2018
0.285714286,0,22987,2018
0.833333333,0.666666667,20353,2018
0.25,0.1,22978,2018
0,0,22652,2018
0,0.666666667,23128,2018
0,0,20945,2019
0,0,22278,2019
0.5,0,22994,2019
0,0,23466,2019
0,0.111111111,23572,2019
0,0,22373,2019
0,0,22640,2019
0,0,21007,2019
0,0,23027,2019
0,0,23378,2019
0,0,22236,2019
0,0.666666667,24553,2020
1,0.666666667,24551,2020
1,0.333333333,24317,2020
0.5,0.2,24577,2020
0,0.2,24506,2020
0.2,0,24268,2020
0.428571429,0,24583,2021
0,0,25015,2021
0,0.25,24902,2021
0.333333333,0.083333333,25290,2022
0.25,0.857142857,25737,2023
0.5,0,25837,2023
0.5,0.9,25245,2023
0.75,0.857142857,25736,2023
0.6,0.222222222,25838,2024
0.25,0.384615385,100018,2024
0.8,0.333333333,25737,2024
1,0.294117647,100079,2024
0.666666667,0.222222222,25837,2024
0.2,0.777777778,100222,2024
0,0.230769231,25902,2024
0.833333333,0.333333333,25736,2024
0.444444444,0.230769231,25899,2024
0,0.2,100052,2024
0,0.333333333,25605,2024
0.545454545,0.333333333,25604,2024
0,0.222222222,25835,2024
0.333333333,0,26017,2024
0.4,0,1328,1992
0,0,1591,1992
0,0,1617,1992
0,0,1620,1992
0,0,1621,1992
0,0,1637,1992
0.166666667,0,1727,1992
0.5,0,2453,1992
0.461538462,0.25,2467,1994
0.666666667,0,2469,1994
0.666666667,0,2533,1992
0.75,0.25,2693,1994
0.333333333,0,2787,1994
1,0.25,2966,1994
0.2,0,3168,1992
0.714285714,0.714285714,3211,1996
0.111111111,0.714285714,3244,1996
0.333333333,0,3526,1995
0.75,0.470588235,3721,1996
0.25,0.090909091,4078,1996
0.4,0.333333333,4235,1996
0,0.526315789,4235,1997
0,0,4316,1995
0.181818182,0,4325,1995
1,0.333333333,4452,1994
0,0.25,4603,1995
0.090909091,0.2,4603,1996
0.055555556,0.181818182,4603,1997
0.1,0.285714286,4792,2000
0.105263158,0.25,4842,2000
1,0.166666667,4878,1999
1,0.923076923,4902,1999
0.038461538,0.095238095,4909,2000
0.5,0.555555556,4912,1994
0.055555556,0.214285714,4916,2000
1,0.166666667,4919,1999
0.2,0,5187,2000
0.85,0.25,5252,2001
0.19047619,0.166666667,5360,2000
0.923076923,0.166666667,5378,1999
0.166666667,0.066666667,5724,2001
0.5,0,5724,2002
0.285714286,0,5724,2003
0.526315789,0.25,5763,2000
0.75,0.5625,6166,1999
0.2,0.055555556,6170,2003
0.166666667,0,6338,2003
0.875,0.090909091,7247,2001
0,0,10046,2011
0.333333333,0.483333333,10135,2008
0.833333333,0.333333333,10141,2008
0.666666667,0.454545455,10185,2008
0.307692308,0.25,10271,2008
0.157894737,0.3,10342,2008
0.5,0.291666667,10377,2008
0.5,0.5,12012,2016
1,0.333333333,12210,2015
0.636363636,0.75,12462,2011
0.833333333,0,12827,2011
0.470588235,0.2,13012,2014
1,1,13466,2016
0.75,1,19654,2015
1,0,19655,2014
0.5,0.428571429,20341,2016
0.888888889,0.5,20570,2016
0.7,0.954545455,20778,2015
0.555555556,1,20866,2015
0.5,0.675,20871,2015
1,0.75,20914,2016
0.666666667,0.916666667,20919,2015
0.75,0.566666667,20919,2016
1,0.916666667,20921,2015
0.5,0.566666667,20921,2016
0.615384615,0.916666667,20923,2015
0.666666667,0.333333333,21247,2015
0.333333333,0.5,5503,2000
0,0.230769231,6343,2003
0.416666667,0.181818182,6346,2005
0,0,6347,2003
0.142857143,0,6347,2004
0.333333333,0.333333333,8496,2008
0.583333333,0.5,13010,2013
0.727272727,0.469230769,11002,2013
0.615384615,0.8,12973,2013
0.461538462,0.777777778,13084,2013
0.444444444,0.5,11017,2013
0.2,0,11952,2013
0.363636364,0.590909091,13097,2013
0.545454545,0.325,13466,2013
0.25,0,11953,2013
0.083333333,0,11722,2013
0.166666667,0.833333333,12137,2013
0.9,0.866666667,13412,2013
0.25,0.166666667,12576,2013
0,0.666666667,13130,2013
0.2,0.25,12136,2013
0.181818182,0.666666667,12524,2013
0.416666667,0.416666667,13185,2013
0.6,0.153846154,11895,2013
0,0.785714286,13305,2013
0.333333333,0.75,12003,2013
0.461538462,0.5,11220,2013
0.75,0.807692308,13646,2013
0.333333333,0.666666667,13131,2013
0.5,0.230769231,12285,2013
1,0.625,13438,2013
0.2,0,1352,1992
0.363636364,0.25,2757,1993
0,0,2600,1993
0,0.090909091,2476,1993
0.666666667,0.125,1907,1993
0.8,0.857142857,3159,1993
0,0,2386,1993
0.25,0,2966,1993
0,0,1908,1993
1,0.857142857,5020,1993
1,0.777777778,1876,1993
0,0.666666667,2622,1993
1,0.25,2713,1993
0,0.2,1949,1993
0.615384615,0,4642,1994
0.25,0.846153846,2389,1994
0.5,0.4,2468,1994
0.454545455,0.333333333,2529,1994
1,0.4,2600,1994
1,0.666666667,2642,1994
0.75,0.4,3709,1994
0,0.846153846,5250,1994
0.666666667,0.846153846,4439,1994
0,0.6,1999,1994
0,0.285714286,2009,1994
0.5,0.3,2337,1994
0.333333333,0.235294118,2491,1994
0.666666667,0.555555556,3116,1994
0.6,0.555555556,4465,1994
0.555555556,0.625,2622,1994
0.333333333,0.285714286,2676,1994
0.857142857,0.5,3159,1994
0,0.454545455,1973,1994
0.2,0,4486,1994
0.5,0.555555556,4704,1994
0.5,0.727272727,1979,1994
0.428571429,0.235294118,3811,1994
0.6,0.833333333,2368,1994
0,0.25,2484,1994
0.5,0,3443,1994
0.5,0.833333333,3700,1994
0.666666667,0.555555556,4558,1994
0.6,0.235294118,2386,1994
0.75,0.5,5241,1994
1,0.4,2059,1994
0.333333333,0.833333333,2284,1994
1,0.857142857,2324,1994
1,0.222222222,2982,1994
0.444444444,0.846153846,3335,1994
0.666666667,0.5,4370,1994
1,0,2421,1994
0.666666667,0.5,2503,1994
1,0.5,5020,1994
1,0.727272727,2486,1994
1,0.166666667,2370,1994
0.5,0.2,3212,1994
0.428571429,0,3405,1994
1,0.5,4272,1994
0.857142857,0.666666667,3423,1994
1,0.333333333,2906,1994
1,0.166666667,6230,1994
0.6,0.857142857,2677,1994
0.5,0.555555556,2423,1994
1,0.5,2438,1994
1,0.666666667,2489,1994
0,0.555555556,2357,1994
0.5,0.5,2439,1994
0.5,0.5,2440,1994
1,0.5,2358,1994
1,0,3783,1994
1,0.857142857,2343,1994
1,1,2492,1994
1,0.454545455,2373,1994
1,0.555555556,2471,1994
1,0.857142857,2400,1994
1,0.625,4428,1994
1,1,2444,1994
0,0,2982,1995
0,0,2622,1995
0.333333333,0,3159,1995
0.25,0,2529,1995
0.25,0,4452,1995
0,0,4272,1995
0.4,0,4428,1995
0.25,0,6230,1995
0.2,0,2676,1995
0,0,3212,1995
0.333333333,0,5020,1995
0,0,5241,1995
0.2,0.333333333,2677,1995
0,0.5,3700,1995
0.166666667,0,4370,1995
0,0.333333333,3222,1995
0,0,4091,1995
0.5,0.333333333,3014,1995
0.666666667,0.125,4382,1995
0.5,0,3423,1995
0,0,3721,1995
