ToppID,Trip,Cluster,Geographic_location,Cluster_name,Seal_ID,Age_years,Ax_Girth_cm,Curve_Length_cm,Standard_Length_cm,Recover_Mass_kg,RecoveryMassEstimated,d13C,d15N,BloodHg_ug_g_ww,MuscleHg_ug_g_dw,MedianDistToContinentalShelf_km,Maximum_Latitude_DegN,Percent_Time_In_California_Current_Ecoregion,Percent_Benthic_Dives,MedianDayDiveDepth_m,MedianNightDiveDepth_m,Day90thPercentileDiveDepth_m,Night90thPercentileDiveDepth_m,DiveIndex
2012044,Long,2,Southern,Shallower offshore,U888,5,202,285,253,477,0,-19.93,14.28,0.328,5.668,1047.8,47.7,0.153,0.039,671,479,860,756,0.132
2012045,Long,1,Northern,Northerly,X258,4,210,282,268,484,0,-20.06,13.45,0.18,1.904,301.7,59.2,0.173,0.045,544,461,661,627,0.154
2012047,Long,2,Southern,Shallower offshore,WX540,11,200,287,274,475,0,-19.56,14.27,0.342,5.032,1204.3,45.2,0.09,0.028,649,485,790,604,0.107
2012048,Long,2,Southern,Shallower offshore,U274,5,188,295,266,494,0,-19.45,14.75,0.304,4.171,1132.4,45.9,0.118,0.028,658,510,731,682,0.122
2012049,Long,1,Northern,Northerly,U398,5,202,281,252,465,0,-19.76,13.68,0.262,3.761,253.9,58.7,0.18,0.173,548,440,665,626,0.355
2012050,Long,2,Southern,Shallower offshore,Y1074,5,178,279,272,401,0,-19.68,13.76,0.218,5.136,1047.1,48.4,0.19,0.032,657,470,777,629,0.118
2013005,Short,3,Southern,Deeper offshore,U848,6,187,286,277,433,0,-19.44,14.48,0.648,8.752,981.4,46.8,0.313,0.023,723,606,855,788,0.153
2013006,Short,1,Northern,Northerly,1317,10,180,303,289,435,0,-19.3,15.33,0.467,6.455,427.6,46.4,0.764,0.046,632,509,698,614,0.197
2013008,Short,1,Northern,Northerly,X334,5,169,277,267,361,1,-19.88,13.65,0.261,4.187,135.6,50.1,1,0.044,600,536,740,646,0.225
2013009,Short,2,Southern,Shallower offshore,T379,8,190,275,266,430,0,-19.65,13.77,0.504,6.453,1191.7,45.4,0.265,0.025,637,591,837,773,0.143
2013010,Short,2,Southern,Shallower offshore,O18129,9,190,288,265,464,0,-19.67,14.17,0.451,6.168,1006.8,45.5,0.287,0.027,685,589,851,772,0.235
2013011,Short,1,Northern,Northerly,U256,6,190,289,276,429,0,-19.12,14.71,0.556,8.04,276.4,53.8,0.654,0.058,588,529,658,638,0.199
2013016,Short,2,Southern,Shallower offshore,4534,4,178,277,254,364,0,-19.72,14.62,0.319,4.173,742.9,46.8,0.412,0.032,675,518,795,621,0.171
2013017,Short,1,Northern,Northerly,2161,10,197,306,293,450,0,-19.2,15.42,0.339,4.234,220.6,44.8,1,0.065,598,528,653,578,0.193
2013018,Short,2,Southern,Shallower offshore,X349,5,165,285,257,366,0,-19.51,14.17,0.439,6.029,984,45.5,0.322,0.024,637,581,806,640,0.155
2013019,Short,2,Southern,Shallower offshore,S126,13,191,299,279,459,0,-19.64,13.72,0.528,10.147,1063.7,44.7,0.301,0.034,633,579,702,645,0.139
2013021,Short,1,Northern,Northerly,VX518,4,177,279,262,395,0,-19.21,14.66,0.43,NA,22.1,50.8,0.963,0.174,613,554,744,715,0.487
2013022,Short,1,Northern,Northerly,U481,6,178,266,252,357,0,-19.76,14.02,0.214,3.039,205.2,53.3,0.741,0.047,590,538,684,612,0.215
